dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,cluster,label,attack_cat
0.227228,tcp,http,FIN,10,6,1526,268,66.012991,254,252,48374.32031,7886.352051,2,1,23.740444,39.148,1216.262525,57.458773,255,58818458,1164368772,255,0.085653,0.031487,0.054166,153,45,1,0,9,1,3,3,1,10,0,0,1,3,10,0,3,0,Normal
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,29,2,19,19,10,29,0,0,0,19,29,0,1,1,Generic
0.413035,tcp,http,FIN,10,6,1206,268,36.316534,254,252,21034.53711,4338.615234,2,1,45.892778,80.256797,3118.07918,137.445266,255,597073499,2013623196,255,0.051774,0.011084,0.04069,121,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,3,1,Exploits
1.016747,tcp,-,FIN,16,12,904,678,26.555279,254,252,6672.259766,4894.039551,4,4,67.783132,86.462547,3634.809524,128.345891,255,656324138,1873663455,255,0.116716,0.052776,0.06394,57,57,0,0,4,1,1,1,1,4,0,0,0,2,4,0,1,0,Normal
0.005349,tcp,ftp-data,FIN,14,6,8928,320,3552.065817,31,29,12400075.0,399326.9688,4,1,0.411462,0.9342,23.261432,1.561326,255,3538860733,3544845976,255,0.000709,0.000543,0.000166,638,53,0,0,2,0,2,1,1,2,0,0,0,2,8,0,1,0,Normal
2.877068,tcp,http,FIN,14,18,1684,10168,10.774858,31,29,4348.871582,26704.96484,3,5,221.286308,169.207235,18323.75368,16029.65052,255,3120608724,3165441357,255,0.000697,0.000541,0.000156,120,565,1,3924,3,0,1,1,1,1,0,0,1,1,4,0,3,0,Normal
1.903207,tcp,-,FIN,38,160,1880,193931,103.5095,62,252,7696.48291,810081.125,6,78,51.438025,11.615019,2483.590265,1165.271744,255,668543562,3858214406,255,0.076059,0.04404,0.032019,49,1212,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,Exploits
5e-06,udp,-,INT,2,0,78,0,200000.0051,254,0,62400000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,8,2,2,2,1,5,0,0,0,2,5,0,1,0,Normal
0.362272,tcp,http,FIN,10,10,744,6174,52.446781,62,252,14795.5127,122714.4297,2,3,40.181,33.731444,2048.575346,1971.291475,255,3388174400,3688155861,255,0.075817,0.058684,0.017133,74,617,1,2649,1,1,1,1,1,1,0,0,1,1,1,0,3,1,Exploits
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,23,2,18,18,18,23,0,0,0,18,23,0,1,1,Generic
8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,30,2,8,8,8,30,0,0,0,8,30,0,1,1,Generic
2.118946,tcp,-,FIN,10,8,844,354,8.022856,254,252,2869.351074,1170.393188,2,1,235.374444,285.473156,14634.73569,601.727938,255,623251860,2560514605,255,0.311191,0.120624,0.190567,84,44,0,0,3,1,1,1,1,1,0,0,0,1,4,0,1,0,Normal
4e-06,udp,dns,INT,2,0,114,0,250000.0006,254,0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,22,2,22,22,22,22,0,0,0,22,22,0,1,1,Generic
0.198007,tcp,-,FIN,10,6,1008,268,75.754897,254,252,36685.57031,9050.18457,2,1,20.912444,34.816398,1230.215581,53.261293,255,719080926,1975254363,255,0.030915,0.023921,0.006994,101,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,Exploits
1e-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,2,3,3,3,3,0,0,0,3,7,0,1,1,Generic
0.001036,udp,dns,CON,2,2,132,164,2895.752973,31,29,509652.5313,633204.625,0,0,0.01,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,3,0,3,1,1,1,0,0,0,3,1,0,1,0,Normal
4e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,14,2,6,6,6,6,0,0,0,9,14,0,1,1,Exploits
1.432604,tcp,-,FIN,24,20,2158,1918,30.015274,31,29,11553.78613,10180.06445,6,5,62.287127,75.364213,0.0,5158.644569,255,1145284658,1145546677,255,0.000709,0.000546,0.000163,90,96,0,0,10,0,3,1,1,1,0,0,0,3,6,0,1,0,Normal
0.001036,udp,dns,CON,2,2,146,178,2895.752973,31,29,563706.5625,687258.6875,0,0,0.011,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,4,0,1,2,1,1,0,0,0,2,2,0,1,0,Normal
9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,37,2,37,37,22,37,0,0,0,37,37,0,1,1,Generic
1.174854,tcp,ssh,FIN,100,102,14512,17238,171.085082,31,29,97830.02344,116228.9063,22,32,11.867212,11.62504,815.232838,809.905743,255,3000832807,855741971,255,0.000748,0.000587,0.000161,145,169,0,0,1,0,7,1,1,2,0,0,0,4,1,0,1,0,Normal
1.1e-05,udp,dns,INT,2,0,114,0,90909.0902,254,0,41454544.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,11,2,7,7,4,7,0,0,0,7,11,0,1,1,Generic
8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,36,2,32,32,20,36,0,0,0,33,36,0,1,1,Generic
0.550979,tcp,-,FIN,10,6,2516,268,27.224267,254,252,32886.91406,3252.392334,2,1,56.278222,96.671797,2916.98977,150.286453,255,2459480164,3265042661,255,0.13802,0.067615,0.070405,252,45,0,0,2,1,1,1,1,2,0,0,0,19,2,0,1,0,Normal
4e-06,udp,-,INT,2,0,104,0,250000.0006,254,0,104000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,5,2,2,2,1,4,0,0,0,4,4,0,1,0,Normal
1.015938,tcp,-,FIN,16,12,906,642,26.576424,254,252,6693.321777,4638.078125,5,3,65.122199,87.476367,3896.602074,122.217203,255,3947632852,1112680071,255,0.120631,0.053688,0.066943,57,54,0,0,5,1,1,1,1,5,0,0,0,1,5,0,1,0,Normal
1.886487,tcp,-,FIN,16,26,734,22436,21.733518,62,252,2921.833008,91488.57031,3,11,125.765796,69.191279,6673.458468,5726.674265,255,417435309,3647343038,255,0.263977,0.125487,0.13849,46,863,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,Exploits
7e-06,tcp,-,REQ,2,0,90,0,142857.1409,254,0,51428572.0,0.0,1,0,0.007,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,11,6,6,1,1,10,0,0,0,6,11,0,1,0,Normal
1.165798,tcp,-,FIN,10,8,534,354,14.582287,254,252,3300.743408,2127.29834,2,1,129.533111,155.410719,9677.079939,238.094188,255,320744078,3781038542,255,0.096195,0.062963,0.033232,53,44,0,0,3,1,1,1,1,2,0,0,0,1,3,0,1,0,Normal
3e-06,udp,-,INT,2,0,168,0,333333.3215,254,0,224000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,2,1,1,1,0,0,0,1,1,0,1,1,Reconnaissance
0.897033,tcp,ssh,FIN,70,62,12472,12820,146.036995,31,29,109641.4531,112495.3047,17,17,13.000479,14.693246,752.449243,801.359663,255,3287739710,1138455499,255,0.000755,0.000596,0.000159,178,207,0,0,1,0,2,1,1,1,0,0,0,2,2,0,1,0,Normal
2.102171,tcp,-,FIN,18,18,1016,2952,16.649455,62,252,3653.365967,10609.98438,6,7,123.657118,119.438414,7089.707195,180.013234,255,3647009496,837711540,255,0.158704,0.070758,0.087946,56,164,0,0,2,1,1,1,1,1,0,0,0,6,1,0,1,1,Exploits
0.670568,tcp,-,FIN,10,6,756,268,22.369096,254,252,8124.456055,2672.361328,2,1,69.314111,109.290203,3794.25515,171.802344,255,2874321609,134985815,255,0.174738,0.124115,0.050623,76,45,0,0,2,1,2,1,1,2,0,0,0,1,2,0,1,0,Normal
8e-06,udp,-,INT,2,0,104,0,125000.0003,254,0,52000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,3,2,2,2,1,3,0,0,0,7,3,0,1,0,Normal
0.793967,tcp,-,FIN,14,12,3336,678,31.487454,254,252,31215.40234,6267.262695,4,4,60.98531,68.150727,3001.028977,78.722156,255,821899923,1309826331,255,0.088281,0.044302,0.043979,238,57,0,0,4,1,1,1,1,4,0,0,0,2,4,0,1,0,Normal
0.001029,udp,dns,CON,2,2,146,178,2915.451794,31,29,567541.3125,691933.875,0,0,0.006,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,1,1,1,1,0,0,0,5,2,0,1,0,Normal
1e-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,34,2,26,26,12,34,0,0,0,26,34,0,1,1,Generic
5e-06,udp,-,INT,2,0,104,0,200000.0051,254,0,83200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,4,2,1,1,1,3,0,0,0,2,3,0,1,0,Normal
0.004458,udp,-,CON,4,4,568,312,1570.210874,31,29,764468.375,419919.25,0,0,1.194,1.022333,1.682207,1.435899,0,0,0,0,0.0,0.0,0.0,142,78,0,0,7,0,5,1,1,3,0,0,0,3,11,0,1,0,Normal
0.499282,tcp,-,FIN,10,6,594,268,30.043142,254,252,8572.30957,3589.154053,2,1,53.041778,86.920797,2844.49302,147.695188,255,1446770687,4026699441,255,0.108413,0.06467,0.043743,59,45,0,0,8,1,3,2,1,8,0,0,0,2,8,0,1,0,Normal
3e-06,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,29,2,25,25,25,29,0,0,0,25,29,0,1,1,Generic
0.804247,tcp,http,FIN,10,8,846,1104,21.137784,62,252,7579.760742,9608.988281,2,2,89.360778,99.85743,4447.185687,154.745875,255,2571656743,2598115105,255,0.236189,0.1046,0.131589,85,138,1,131,4,1,1,1,1,3,0,0,1,1,3,0,3,0,Normal
6e-06,udp,dns,INT,2,0,114,0,166666.6608,254,0,76000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,36,2,14,13,13,36,0,0,0,13,36,0,1,1,Generic
2e-06,udp,dns,INT,2,0,114,0,500000.0013,254,0,228000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,25,2,15,15,15,25,0,0,0,15,25,0,1,1,Generic
5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,33,2,33,33,18,33,0,0,0,33,33,0,1,1,Generic
4e-06,prm,-,INT,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,21,2,6,6,6,6,0,0,0,6,16,0,1,1,Exploits
1.1e-05,ttp,-,INT,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,10,2,4,4,4,4,0,0,0,4,10,0,1,1,DoS
1e-05,udp,dns,INT,2,0,114,0,100000.0025,254,0,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,14,2,7,7,3,7,0,0,0,7,14,0,1,1,Generic
9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,8,2,4,4,4,8,0,0,0,13,8,0,1,1,Exploits
1.11215,tcp,-,FIN,10,8,2530,354,15.285708,254,252,16379.08594,2229.915039,2,1,123.572222,138.532,7403.405411,209.674359,255,4011304712,2391208240,255,0.176271,0.08224,0.094031,253,44,0,0,3,1,1,1,1,3,0,0,0,1,3,0,1,0,Normal
0.220151,tcp,-,FIN,76,72,85672,3788,667.723495,29,31,3072254.75,135761.3594,33,1,2.935347,3.075268,156.298979,4.016229,255,178193820,51821024,255,0.0,0.0,0.0,1127,53,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,Normal
1.082826,tcp,-,FIN,14,12,774,642,23.087735,254,252,5312.025879,4351.576172,4,3,83.29431,92.182727,5359.052184,132.797672,255,340182413,3636718186,255,0.142574,0.04443,0.098144,55,54,0,0,3,1,1,1,1,3,0,0,0,23,3,0,1,0,Normal
8.613407,tcp,-,REQ,4,0,180,0,0.348294,254,0,125.385925,0.0,3,0,2871.13575,0.0,4060.39125,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,28,6,10,2,2,26,0,0,0,11,26,0,1,0,Normal
1.270973,tcp,-,FIN,60,16,68183,698,59.00991,254,252,422020.0,4122.825684,27,1,21.541915,83.034203,2443.251488,109.287711,255,2231456488,3685411007,255,0.083778,0.024746,0.059032,1136,44,1,0,5,1,1,1,1,1,0,0,1,4,1,0,3,0,Normal
1.141015,tcp,http,FIN,10,8,804,1152,14.899015,62,252,5076.182129,7067.391602,2,2,126.779444,151.854422,7497.868715,306.559281,255,1389319246,3299279585,255,0.118878,0.077355,0.041523,80,144,1,173,3,1,1,2,1,2,0,0,1,2,2,0,3,0,Normal
0.145831,tcp,-,FIN,84,86,4862,79882,1158.875655,31,29,263592.7813,4331260.0,7,36,1.751482,1.729464,98.850567,97.854354,255,2365640363,238647950,255,0.000753,0.000553,0.0002,58,929,0,0,7,0,5,1,1,3,0,0,0,7,3,0,1,0,Normal
0.160533,tcp,http,FIN,10,6,774,268,93.438735,254,252,34734.29297,11162.81445,2,1,17.317556,26.8454,985.967055,46.61173,255,4218615077,3869980222,255,0.044853,0.026297,0.018556,77,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,3,1,Exploits
40.02314,tcp,-,FIN,317,652,16966,946900,24.186008,31,29,3380.644287,188980.2813,2,301,126.654462,61.47866,7319.560772,4883.728533,255,3955738642,1888750278,255,0.00067,0.000518,0.000152,54,1452,0,0,8,0,1,1,1,1,0,0,0,1,7,0,10,0,Normal
6e-06,udp,dns,INT,2,0,114,0,166666.6608,254,0,76000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,29,2,4,4,4,29,0,0,0,4,29,0,1,1,Generic
